使用者,總分,Quiz1Q1分數,Quiz1Q2分數,Quiz1Q3分數,Quiz1Q4分數,Quiz1Q5分數,Quiz1Q6分數,最晚作答時間
S45,16.0,8.0,0.0,0.0,0.0,8.0,0.0,0 days 00:00:00
S46,100.0,20.0,20.0,20.0,20.0,20.0,0.0,1 days 02:24:40.031770
S47,80.0,20.0,20.0,20.0,0.0,20.0,0.0,1 days 02:40:53.095091
S48,96.0,20.0,16.0,20.0,20.0,20.0,0.0,1 days 02:21:40.995022
S49,120.0,20.0,20.0,20.0,20.0,20.0,20.0,1 days 02:40:14.286616
S50,64.0,20.0,20.0,20.0,0.0,4.0,0.0,1 days 02:46:34.161652
S52,100.0,20.0,20.0,20.0,20.0,20.0,0.0,1 days 02:22:01.623088
S53,96.0,20.0,16.0,20.0,0.0,20.0,20.0,1 days 01:56:01.789731
S54,44.0,20.0,4.0,0.0,0.0,0.0,20.0,1 days 02:43:32.560291
S55,100.0,20.0,20.0,20.0,20.0,20.0,0.0,1 days 01:34:40.198358
S56,20.0,20.0,0.0,0.0,0.0,0.0,0.0,1 days 01:46:03.263705
S57,116.0,20.0,20.0,20.0,20.0,20.0,16.0,1 days 01:41:30.570256
S58,112.0,20.0,20.0,20.0,20.0,12.0,20.0,1 days 02:44:06.120540
S59,116.0,20.0,16.0,20.0,20.0,20.0,20.0,1 days 02:24:05.664865
S60,120.0,20.0,20.0,20.0,20.0,20.0,20.0,1 days 02:24:03.327331
S61,60.0,20.0,0.0,20.0,0.0,20.0,0.0,1 days 02:18:36.699551
S62,120.0,20.0,20.0,20.0,20.0,20.0,20.0,1 days 02:00:07.039440
S63,20.0,20.0,0.0,0.0,0.0,0.0,0.0,1 days 00:36:04.825563
S64,60.0,20.0,20.0,0.0,0.0,0.0,20.0,1 days 02:27:08.615078
S65,40.0,20.0,0.0,0.0,0.0,20.0,0.0,1 days 02:41:45.367346
S66,120.0,20.0,20.0,20.0,20.0,20.0,20.0,1 days 01:47:39.019269
S67,60.0,20.0,20.0,0.0,20.0,0.0,0.0,1 days 02:19:07.434684
S68,120.0,20.0,20.0,20.0,20.0,20.0,20.0,1 days 02:32:37.477951
S69,40.0,20.0,0.0,0.0,0.0,0.0,20.0,1 days 02:20:03.061373
S70,120.0,20.0,20.0,20.0,20.0,20.0,20.0,1 days 01:57:03.970407
S71,100.0,20.0,20.0,20.0,20.0,20.0,0.0,1 days 02:33:59.035221
S72,60.0,0.0,20.0,0.0,0.0,20.0,20.0,1 days 02:43:03.268540
S73,80.0,20.0,20.0,0.0,20.0,20.0,0.0,1 days 02:17:01.755374
test,120.0,20.0,20.0,20.0,20.0,20.0,20.0,0 days 06:36:49.000910
